+-----+-----------------------------------------------+------------------------------------------------------------+---------+----------+--------+-------+---------+------------+--------------------------------------------------------+---------------------+
|  ID | Registry name                                 | Biome name                                                 |   temp. | temp cat |   rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                   | Valid for           |
| 161 | minecraft:mutated_redwood_taiga_hills         | Redwood Taiga Hills M                                      |    0.25 | MEDIUM   |   0.80 | false | false   |            | DENSE, FOREST, HILLS, RARE                             | stronghold          |
| 162 | minecraft:mutated_extreme_hills_with_trees    | Extreme Hills+ M                                           |    0.20 | MEDIUM   |   0.30 | false | false   |            | MOUNTAIN, RARE, SPARSE                                 | stronghold          |
| 163 | minecraft:mutated_savanna                     | Savanna M                                                  |    1.10 | WARM     |   0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SAVANNA, SPARSE              | stronghold          |
| 164 | minecraft:mutated_savanna_rock                | Savanna Plateau M                                          |    1.00 | WARM     |   0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SAVANNA, SPARSE                 | stronghold          |
| 165 | minecraft:mutated_mesa                        | Mesa (Bryce)                                               |    2.00 | WARM     |   0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                       | stronghold          |
| 166 | minecraft:mutated_mesa_rock                   | Mesa Plateau F M                                           |    2.00 | WARM     |   0.00 | false | false   |            | DRY, HILLS, HOT, RARE, SPARSE                          | stronghold          |
| 167 | minecraft:mutated_mesa_clear_rock             | Mesa Plateau M                                             |    2.00 | WARM     |   0.00 | false | false   |            | DRY, HOT, MOUNTAIN, RARE, SPARSE                       | stronghold          |
| 168 | zollerngalaxy:lost hallows                    | Lost Hallows                                               |    0.50 | WARM     |   0.50 | false | false   |            | DEAD, DRY, HOT, PLAINS                                 | stronghold          |
| 169 | zollerngalaxy:lost oasis                      | Lost Oasis                                                 |    0.50 | WARM     |   0.50 | false | false   |            | LUSH, PLAINS, WET                                      | stronghold          |
| 170 | zollerngalaxy:fueltonium ocean                | Fueltonium Ocean                                           |    0.50 | OCEAN    |   0.50 | false | false   |            | DEAD, HOT, OCEAN, SPOOKY, WATER                        | stronghold          |
| 171 | zollerngalaxy:lost mountains                  | Lost Mountains                                             |    0.50 | WARM     |   0.50 | false | false   |            | DEAD, MOUNTAIN                                         | stronghold          |
| 172 | zollerngalaxy:rocky isles                     | Rocky Isles                                                |    0.50 | MEDIUM   |   0.50 |  true | false   |            | BEACH, LUSH, WET                                       | stronghold          |
| 173 | zollerngalaxy:sanctum beach                   | Sanctum Beach                                              |    0.50 | MEDIUM   |   0.50 | false | false   |            | BEACH, LUSH, WET                                       | stronghold          |
| 174 | zollerngalaxy:the abyss                       | The Abyss                                                  |    0.50 | OCEAN    |   0.50 | false | false   |            | OCEAN, WATER, WET                                      | stronghold          |
| 175 | zollerngalaxy:rocky shore                     | Rocky Shore                                                |    0.50 | MEDIUM   |   0.50 |  true | false   |            | LUSH, MOUNTAIN, WET                                    | stronghold          |
| 176 | zollerngalaxy:upside down                     | Upside Down                                                |    0.50 | COLD     |   0.50 | false | false   |            | COLD, DEAD, PLAINS, SPOOKY                             | stronghold          |
| 177 | zollerngalaxy:creeplands                      | Creeplands                                                 |    0.50 | COLD     |   0.50 | false | false   |            | COLD, DEAD, SPOOKY, WASTELAND                          | stronghold          |
| 178 | zollerngalaxy:rocky veins                     | Rocky Veins                                                |    0.50 | COLD     |   0.50 | false | false   |            | COLD, DEAD, MOUNTAIN, SPOOKY                           | stronghold          |
| 179 | zollerngalaxy:witherlands                     | Witherlands                                                |    0.50 | COLD     |   0.50 | false | false   |            | COLD, DEAD, SPOOKY, WASTELAND                          | stronghold          |
| 180 | zollerngalaxy:corrupted mesa                  | Corrupted Mesa                                             |    0.50 | COLD     |   0.50 | false | false   |            | COLD, DEAD, MOUNTAIN, SPOOKY                           | stronghold          |
| 181 | randomthings:spectral                         | Spectral                                                   |    0.20 | MEDIUM   |   0.50 | false | false   |            | MAGICAL                                                | stronghold          |
| 182 | jeid:error_biome                              | A mod doesn't support extended biome IDs -- report to JEID |    0.50 | MEDIUM   |   0.50 | false | false   |            | PLAINS                                                 | stronghold          |
| 183 | mist:up_meadow                                | Meadow                                                     |    1.30 | WARM     |   0.40 | false | false   |            | PLAINS                                                 | stronghold          |
| 184 | mist:up_forest                                | Forest                                                     |    1.20 | WARM     |   0.50 | false | false   |            | FOREST                                                 | stronghold          |
| 185 | mist:up_dense_forest                          | Dense Forest                                               |    1.10 | WARM     |   0.60 | false | false   |            | DENSE, FOREST, WET                                     | stronghold          |
| 186 | mist:up_savanna                               | Savanna                                                    |    1.60 | WARM     |   0.20 | false | false   |            | DRY, HOT, SAVANNA                                      | stronghold          |
| 187 | mist:up_desert                                | Desert                                                     |    2.10 | WARM     |   0.00 | false | false   |            | DRY, HOT, SANDY                                        | stronghold          |
| 188 | mist:up_dunes                                 | Dunes                                                      |    1.90 | WARM     |   0.10 | false | false   |            | DRY, HILLS, HOT, SANDY                                 | stronghold          |
| 189 | mist:up_snowfields                            | Snowfields                                                 |    0.10 | COLD     |   0.00 |  true | false   |            | COLD, CONIFEROUS, PLAINS, SNOWY                        | stronghold          |
| 190 | mist:up_taiga                                 | Taiga                                                      |    0.10 | COLD     |   0.20 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY                        | stronghold          |
| 191 | mist:up_hilly_taiga                           | Hilly Taiga                                                |    0.10 | COLD     |   0.30 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                 | stronghold          |
| 192 | mist:up_swamp                                 | Swampland                                                  |    0.90 | MEDIUM   |   0.90 | false | false   |            | SWAMP, WET                                             | stronghold          |
| 193 | mist:up_swampy_meadow                         | Swampy Meadow                                              |    1.10 | WARM     |   0.70 | false | false   |            | PLAINS, SWAMP, WET                                     | stronghold          |
| 194 | mist:up_swampy_forest                         | Swampy Forest                                              |    0.70 | MEDIUM   |   0.90 | false | false   |            | FOREST, SWAMP, WET                                     | stronghold          |
| 195 | mist:up_jungle                                | Jungle                                                     |    1.50 | WARM     |   0.90 | false | false   |            | FOREST, JUNGLE, LUSH, WET                              | stronghold          |
| 196 | mist:up_jungle_edge                           | Jungle Edge                                                |    1.60 | WARM     |   0.80 | false | false   |            | JUNGLE, WET                                            | stronghold          |
| 197 | mist:up_jungle_hills                          | Jungle Hills                                               |    1.50 | WARM     |   0.90 | false | false   |            | FOREST, HILLS, JUNGLE, LUSH                            | stronghold          |
| 198 | mist:up_lake                                  | Lake                                                       |    1.30 | WARM     |   0.60 | false | false   |            | RIVER, WATER, WET                                      | stronghold          |
| 199 | mist:up_lowland                               | Lowland                                                    |    0.70 | MEDIUM   |   0.90 | false | false   |            | JUNGLE, WET                                            | stronghold          |
| 200 | mist:up_cold_lowland                          | Cold Lowland                                               |   -0.30 | COLD     |   0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER, WET                         | stronghold          |
| 201 | mist:up_marsh                                 | Marsh                                                      |    0.70 | MEDIUM   |   0.90 | false | false   |            | RIVER, WATER, WET                                      | stronghold          |
| 202 | mist:border_plains                            | Plains Border                                              |    1.30 | WARM     |   0.40 | false | false   |            | PLAINS, WASTELAND                                      | stronghold          |
| 203 | mist:border_desert                            | Desert Border                                              |    1.60 | WARM     |   0.20 | false | false   |            | DRY, HOT, SANDY, WASTELAND                             | stronghold          |
| 204 | mist:border_cold                              | Cold Border                                                |    0.10 | COLD     |   0.00 |  true | false   |            | COLD, SNOWY, WASTELAND                                 | stronghold          |
| 205 | mist:border_swamp                             | Swampland Border                                           |    1.10 | WARM     |   0.50 | false | false   |            | WASTELAND, WET                                         | stronghold          |
| 206 | mist:border_jungle                            | Jungle Border                                              |    1.60 | WARM     |   0.70 | false | false   |            | JUNGLE, WASTELAND, WET                                 | stronghold          |
| 207 | mist:border_down                              | Down Border                                                |    1.50 | WARM     |   0.50 | false | false   |            | DEAD, SPOOKY                                           |                     |
| 208 | mist:separator                                | Border                                                     |    1.00 | WARM     |   0.50 | false | false   |            | DEAD, SPOOKY                                           | stronghold          |
| 209 | mist:down                                     | Down                                                       |    1.50 | WARM     |   0.50 | false | false   |            | DEAD, SPOOKY                                           |                     |
| 210 | mist:down_forest                              | Down Forest                                                |    1.30 | WARM     |   0.70 | false | false   |            | DEAD, SPOOKY                                           |                     |
| 211 | mist:down_swamp                               | Down Swamp                                                 |    1.70 | WARM     |   0.90 | false | false   |            | DEAD, SPOOKY                                           |                     |
| 212 | mist:down_center                              | Down Center                                                |    1.90 | WARM     |   0.10 | false | false   |            | DEAD, SPOOKY                                           |                     |
| 213 | moreplanets:diona                             | Diona                                                      |    0.20 | MEDIUM   |   0.00 | false | false   |            | COLD, DEAD, DRY                                        | stronghold          |
| 214 | moreplanets:chalos_plains                     | Chalos Plains                                              |    0.80 | MEDIUM   |   0.40 | false | false   |            | DRY, PLAINS                                            | stronghold          |
| 215 | moreplanets:chalos_moutains                   | Chalos Moutains                                            |    0.20 | MEDIUM   |   0.30 | false | false   |            | DRY, HILLS, MOUNTAIN                                   | stronghold          |
| 216 | moreplanets:slimely_stream                    | Slimely Stream                                             |    0.50 | MEDIUM   |   0.50 | false | false   |            | DRY, WASTELAND                                         | stronghold          |
| 217 | moreplanets:infected_plains                   | Infected Plains                                            |    0.80 | MEDIUM   |   0.40 | false | false   |            | DEAD, DRY, PLAINS                                      | stronghold          |
| 218 | moreplanets:infected_infested_plains          | Infected Infested Plains                                   |    0.80 | MEDIUM   |   0.40 | false | false   |            | DEAD, DRY, PLAINS, RARE                                | stronghold          |
| 219 | moreplanets:infected_dead_savanna             | Infected Dead Savanna                                      |    1.20 | WARM     |   0.00 | false | false   |            | DEAD, DRY, HOT, PLAINS, SAVANNA, SPARSE                | stronghold          |
| 220 | moreplanets:infected_dead_savanna_plateau     | Infected Dead Savanna Plateau                              |    1.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, HOT, PLAINS, RARE, SAVANNA, SPARSE          | stronghold          |
| 221 | moreplanets:infected_desert                   | Infected Desert                                            |    2.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, HOT, SANDY                                  | stronghold          |
| 222 | moreplanets:infected_desert_hills             | Infected Desert Hills                                      |    2.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, HILLS, HOT, SANDY                           | stronghold          |
| 223 | moreplanets:infected_river                    | Infected River                                             |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, RIVER, WATER                                     |                     |
| 224 | moreplanets:infected_frozen_river             | Infected Frozen River                                      |    0.00 | COLD     |   0.50 |  true | false   |            | COLD, DEAD, RIVER, SNOWY, WATER                        |                     |
| 225 | moreplanets:infected_ocean                    | Infected Ocean                                             |    0.50 | OCEAN    |   0.50 | false | false   |            | DEAD, OCEAN, WATER                                     |                     |
| 226 | moreplanets:infected_forest                   | Infected Forest                                            |    0.70 | MEDIUM   |   0.80 | false | false   |            | DEAD, FOREST                                           | stronghold          |
| 227 | moreplanets:infected_wooded_hills             | Infected Wooded Hills                                      |    0.70 | MEDIUM   |   0.80 | false | false   |            | DEAD, FOREST, HILLS                                    | stronghold          |
| 228 | moreplanets:infected_deep_ocean               | Infected Deep Ocean                                        |    0.50 | OCEAN    |   0.50 | false | false   |            | DEAD, OCEAN, WATER                                     |                     |
| 229 | moreplanets:infected_dead_dark_forest         | Infected Dead Dark Forest                                  |    0.70 | MEDIUM   |   0.80 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY                            | stronghold          |
| 230 | moreplanets:infected_mountains                | Infected Mountains                                         |    0.20 | MEDIUM   |   0.30 | false | false   |            | DEAD, HILLS, MOUNTAIN                                  | stronghold          |
| 231 | moreplanets:infected_mountains_edge           | Infected Mountains Edge                                    |    0.20 | MEDIUM   |   0.30 | false | false   |            | DEAD, MOUNTAIN                                         | stronghold          |
| 232 | moreplanets:infected_wooded_mountains         | Infected Wooded Mountains                                  |    0.20 | MEDIUM   |   0.30 | false | false   |            | DEAD, FOREST, MOUNTAIN, SPARSE                         | stronghold          |
| 233 | moreplanets:infected_swamp                    | Infected Swamp                                             |    0.80 | MEDIUM   |   0.90 | false | false   |            | DEAD, SWAMP, WET                                       |                     |
| 234 | moreplanets:infected_taiga                    | Infected Taiga                                             |    0.25 | MEDIUM   |   0.80 | false | false   |            | COLD, CONIFEROUS, DEAD                                 | stronghold          |
| 235 | moreplanets:infected_taiga_hills              | Infected Taiga Hills                                       |    0.25 | MEDIUM   |   0.80 | false | false   |            | COLD, CONIFEROUS, DEAD, HILLS                          | stronghold          |
| 236 | moreplanets:infected_snowy_taiga              | Infected Snowy Taiga                                       |   -0.50 | COLD     |   0.40 |  true | false   |            | COLD, CONIFEROUS, DEAD, SNOWY                          | stronghold          |
| 237 | moreplanets:infected_snowy_taiga_hills        | Infected Snowy Taiga Hills                                 |   -0.50 | COLD     |   0.40 |  true | false   |            | COLD, CONIFEROUS, DEAD, HILLS, SNOWY                   | stronghold          |
| 238 | moreplanets:infected_giant_tree_taiga         | Infected Giant Tree Taiga                                  |    0.30 | MEDIUM   |   0.80 | false | false   |            | COLD, CONIFEROUS, DEAD, FOREST                         | stronghold          |
| 239 | moreplanets:infected_giant_tree_taiga_hills   | Infected Giant Tree Taiga Hills                            |    0.30 | MEDIUM   |   0.80 | false | false   |            | COLD, CONIFEROUS, DEAD, FOREST, HILLS                  | stronghold          |
| 240 | moreplanets:infected_giant_spruce_taiga       | Infected Giant Spruce Taiga                                |    0.25 | MEDIUM   |   0.80 | false | false   |            | DEAD, DENSE, FOREST, RARE                              | stronghold          |
| 241 | moreplanets:infected_giant_spruce_taiga_hills | Infected Giant Spruce Taiga Hills                          |    0.25 | MEDIUM   |   0.80 | false | false   |            | DEAD, DENSE, FOREST, HILLS, RARE                       | stronghold          |
| 242 | moreplanets:infected_jungle                   | Infected Jungle                                            |    0.95 | MEDIUM   |   0.90 | false | false   |            | DEAD, DENSE, HOT, JUNGLE, WET                          | stronghold          |
| 243 | moreplanets:infected_jungle_hills             | Infected Jungle Hills                                      |    0.95 | MEDIUM   |   0.90 | false | false   |            | DEAD, DENSE, HILLS, HOT, JUNGLE, WET                   | stronghold          |
| 244 | moreplanets:infected_jungle_edge              | Infected Jungle Edge                                       |    0.95 | MEDIUM   |   0.80 | false | false   |            | DEAD, FOREST, HOT, JUNGLE, RARE, WET                   | stronghold          |
| 245 | moreplanets:infected_snowy_tundra             | Infected Snowy Tundra                                      |    0.00 | COLD     |   0.50 |  true | false   |            | COLD, DEAD, SNOWY                                      | stronghold          |
| 246 | moreplanets:infected_snowy_mountains          | Infected Snowy Mountains                                   |    0.00 | COLD     |   0.50 |  true | false   |            | COLD, DEAD, MOUNTAIN, SNOWY                            | stronghold          |
| 247 | moreplanets:infected_ice_spikes               | Infected Ice Spikes                                        |    0.00 | COLD     |   0.50 |  true | false   |            | COLD, DEAD, HILLS, RARE, SNOWY                         | stronghold          |
| 248 | moreplanets:green_vein_fields                 | Green Vein Fields                                          |    0.90 | MEDIUM   |   1.00 | false | false   |            | FOREST, MAGICAL, RARE                                  | stronghold          |
| 249 | moreplanets:cold_green_vein_moutains          | Cold Green Vein Mountains                                  |    0.00 | COLD     |   0.50 | false | false   |            | COLD, FOREST, MAGICAL, MOUNTAIN, RARE, SNOWY           | stronghold          |
| 250 | moreplanets:green_vein_field_shore            | Green Vein Field Shore                                     |    0.90 | MEDIUM   |   1.00 | false | false   |            | BEACH, FOREST, MAGICAL, RARE                           |                     |
| 251 | moreplanets:infected_beaches                  | Infected Beach                                             |    0.80 | MEDIUM   |   0.40 | false | false   |            | BEACH, DEAD                                            |                     |
| 252 | moreplanets:infected_stone_shore              | Infected Stone Shore                                       |    0.80 | MEDIUM   |   0.40 | false | false   |            | BEACH, DEAD                                            |                     |
| 253 | moreplanets:infected_snowy_beach              | Infected Snowy Beach                                       |    0.05 | COLD     |   0.30 |  true | false   |            | BEACH, COLD, DEAD, SNOWY                               |                     |
| 254 | moreplanets:infected_badlands                 | Infected Badlands                                          |    2.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, MESA, SANDY                                 | stronghold          |
| 255 | moreplanets:infected_wooded_badlands_plateau  | Infected Wooded Badlands Plateau                           |    2.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, MESA, SANDY, SPARSE                         | stronghold          |
| 256 | moreplanets:infected_badlands_plateau         | Infected Badlands Plateau                                  |    2.00 | WARM     |   0.00 | false | false   |            | DEAD, DRY, MESA, SANDY                                 | stronghold          |
| 257 | moreplanets:fronos_meadow                     | Fronos Meadow                                              |    0.80 | MEDIUM   |   0.40 | false | false   |            | PLAINS                                                 | stronghold          |
| 258 | moreplanets:fronos_plains                     | Fronos Plains                                              |    0.80 | MEDIUM   |   0.40 | false | false   |            | PLAINS                                                 | stronghold          |
| 259 | moreplanets:fronos_river                      | Fronos River                                               |    0.50 | MEDIUM   |   0.50 | false | false   |            | RIVER, WATER                                           |                     |
| 260 | moreplanets:fronos_forest                     | Fronos Forest                                              |    0.70 | MEDIUM   |   0.80 | false | false   |            | FOREST                                                 | stronghold          |
| 261 | zollerngalaxy:vortex mountains                | Vortex Mountains                                           |    0.50 | WARM     |   0.50 |  true | false   |            | DEAD, DRY, HOT, MOUNTAIN                               | stronghold          |
| 262 | zollerngalaxy:harran plains                   | Harran Plains                                              |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, LUSH, WASTELAND, WET                             | stronghold          |
| 263 | zollerngalaxy:vortex chargium sea             | Vortex Chargium Sea                                        |    0.50 | WARM     |   0.50 | false | false   |            | DEAD, HOT, OCEAN, SPOOKY, WATER                        | stronghold          |
| 264 | zollerngalaxy:harran swamp                    | Harran Swamp                                               |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, LUSH, SWAMP, WET                                 | stronghold          |
| 265 | zollerngalaxy:harran ocean                    | Harran Ocean                                               |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, OCEAN, WATER, WET                                | stronghold          |
| 266 | zollerngalaxy:vortex                          | Vortex                                                     |    0.50 | WARM     |   0.50 |  true | false   |            | HOT, MOUNTAIN, WET                                     | stronghold          |
| 267 | zollerngalaxy:harran tundra                   | Harran Tundra                                              |    0.50 | COLD     |   0.50 |  true | false   |            | COLD, DEAD, PLAINS, SNOWY                              | stronghold          |
| 268 | zollerngalaxy:harran dunes                    | Harran Dunes                                               |    0.50 | WARM     |   0.50 | false | false   |            | DEAD, DRY, HOT, MOUNTAIN, WASTELAND                    | stronghold          |
| 269 | zollerngalaxy:harran shroomlands              | Harran Shroomlands                                         |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, LUSH, SWAMP, WET                                 | stronghold          |
| 270 | zollerngalaxy:harran clay mesa                | Harran Clay Mesa                                           |    0.50 | MEDIUM   |   0.50 | false | false   |            | DEAD, SWAMP, WASTELAND, WET                            | stronghold          |
| 283 | exoplanets:yz ceti b                          | Yz Ceti B                                                  |    0.50 | COLD     |   0.50 | false | false   |            | DEAD, DRY                                              | stronghold          |
| 284 | exoplanets:yz ceti b dirty                    | Yz Ceti B Dirty                                            |    0.50 | COLD     |   0.50 | false | false   |            | DEAD, SPOOKY                                           | stronghold          |
| 285 | exoplanets:yz ceti c                          | Yz Ceti C                                                  |    0.50 | COLD     |   0.50 | false | false   |            | DEAD, DRY                                              | stronghold          |
| 286 | exoplanets:yz ceti unknown                    | Yz Ceti Unknown                                            |    0.50 | COLD     |   0.50 | false | false   |            | DEAD, SPOOKY                                           | stronghold          |
| 287 | appliedenergistics2:storage_biome             | Storage Cell                                               | -100.00 | COLD     |   0.50 | false | false   |            | COLD, PLAINS                                           | stronghold          |
| 288 | twilightforest:twilight_lake                  | Twilight Lake                                              |    0.66 | MEDIUM   |   1.00 | false | false   |            | OCEAN, TWILIGHT, WATER                                 |                     |
| 289 | twilightforest:twilight_forest                | Twilight Forest                                            |    0.50 | MEDIUM   |   0.50 | false | false   |            | FOREST, TWILIGHT                                       | stronghold          |
| 290 | twilightforest:dense_twilight_forest          | Dense Twilight Forest                                      |    0.70 | MEDIUM   |   0.80 | false | false   |            | DENSE, FOREST, TWILIGHT                                | stronghold          |
| 291 | twilightforest:twilight_highlands             | Twilight Highlands                                         |    0.40 | MEDIUM   |   0.70 | false | false   |            | CONIFEROUS, FOREST, MOUNTAIN, TWILIGHT                 | stronghold          |
| 292 | twilightforest:mushroom_forest                | Mushroom Forest                                            |    0.80 | MEDIUM   |   0.80 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                             | stronghold          |
| 293 | twilightforest:twilight_swamp                 | Twilight Swamp                                             |    0.80 | MEDIUM   |   0.90 | false | false   |            | SWAMP, TWILIGHT, WET                                   |                     |
| 294 | twilightforest:twilight_stream                | Twilight Stream                                            |    0.50 | MEDIUM   |   0.10 | false | false   |            | RIVER, TWILIGHT, WATER                                 |                     |
| 295 | twilightforest:snowy_forest                   | Snowy Forest                                               |    0.09 | COLD     |   0.90 |  true | false   |            | COLD, CONIFEROUS, FOREST, SNOWY, TWILIGHT              | stronghold          |
| 296 | twilightforest:twilight_glacier               | Twilight Glacier                                           |    0.00 | COLD     |   0.10 |  true | false   |            | COLD, SNOWY, TWILIGHT, WASTELAND                       | stronghold          |
| 297 | twilightforest:twilight_clearing              | Twilight Clearing                                          |    0.80 | MEDIUM   |   0.40 | false | false   |            | PLAINS, SPARSE, TWILIGHT                               | stronghold          |
| 298 | twilightforest:oak_savannah                   | Oak Savanna                                                |    0.90 | MEDIUM   |   0.00 | false | false   |            | FOREST, SPARSE, TWILIGHT                               | stronghold          |
| 299 | twilightforest:firefly_forest                 | Firefly Forest                                             |    0.50 | MEDIUM   |   1.00 | false | false   |            | FOREST, LUSH, TWILIGHT                                 | stronghold          |
| 300 | twilightforest:deep_mushroom_forest           | Deep Mushroom Forest                                       |    0.80 | MEDIUM   |   1.00 | false | false   |            | FOREST, MUSHROOM, TWILIGHT                             | stronghold          |
| 301 | twilightforest:dark_forest                    | Dark Forest L                                                 |    0.70 | MEDIUM   |   0.80 | false | false   |            | DENSE, FOREST, SPOOKY, TWILIGHT                        | stronghold          |
| 302 | twilightforest:enchanted_forest               | Enchanted Forest                                           |    0.50 | MEDIUM   |   0.50 | false | false   |            | FOREST, MAGICAL, TWILIGHT                              | stronghold          |
| 303 | twilightforest:fire_swamp                     | Fire Swamp                                                 |    1.00 | WARM     |   0.40 | false | false   |            | HOT, SWAMP, TWILIGHT, WASTELAND                        | stronghold          |
| 304 | twilightforest:dark_forest_center             | Dark Forest Center                                         |    0.50 | MEDIUM   |   0.50 | false | false   |            | DENSE, FOREST, MAGICAL, SPOOKY, TWILIGHT               | stronghold          |
| 305 | twilightforest:highlands_center               | Final Plateau                                              |    0.30 | MEDIUM   |   0.20 | false | false   |            | DEAD, DRY, MESA, TWILIGHT, WASTELAND                   | stronghold          |
| 306 | twilightforest:thornlands                     | Thornlands                                                 |    0.30 | MEDIUM   |   0.20 | false | false   |            | DEAD, DRY, HILLS, TWILIGHT, WASTELAND                  | stronghold          |
| 307 | twilightforest:spooky_forest                  | Spooky Forest                                              |    0.50 | MEDIUM   |   1.00 | false | false   |            | DEAD, DENSE, FOREST, SPOOKY, TWILIGHT                  | stronghold          |
| 308 | aether:aether_highlands                       | Highlands                                                  |    0.50 | MEDIUM   |   0.50 | false | false   |            | PLAINS                                                 | stronghold          |
| 309 | aether:aether_magnetic_hills                  | Magnetic Hills                                             |    0.50 | MEDIUM   |   0.50 | false | false   |            | HILLS, HOT, SPARSE                                     | stronghold          |
| 310 | aether:aether_arctic_peaks                    | Arctic Peaks                                               |    0.00 | COLD     |   0.50 |  true | false   |            | COLD, DENSE, MOUNTAIN, SNOWY                           | stronghold          |
| 311 | aether:aether_forgotten_highlands             | Forgotten Highlands                                        |    0.00 | COLD     |   0.50 | false | false   |            | DENSE                                                  | stronghold          |
| 312 | aether:aether_irradiated_forests              | Irradiated Forests                                         |    0.00 | COLD     |   0.50 | false | false   |            | DENSE, FOREST, HOT                                     | stronghold          |
| 313 | aether:aether_void                            | Aether Void                                                |    0.50 | MEDIUM   |   0.50 | false | false   |            | VOID                                                   | stronghold          |
| 314 | aether:instanced_zone                         | Instanced Zone                                             |    0.50 | MEDIUM   |   0.00 | false | false   |            | VOID                                                   | stronghold          |
| 315 | aoa3:abyss                                    | Abyssal Wastelands                                         |    0.00 | COLD     | 100.00 | false | false   |            | COLD, DEAD, HILLS, SPOOKY, WASTELAND, WET              |                     |
| 316 | aoa3:ancient_cavern                           | Ancient Cavern                                             |    0.00 | COLD     |   0.00 | false | false   |            | COLD, DRY, PLAINS, VOID                                |                     |
| 317 | aoa3:barathos                                 | Barathos                                                   |    2.00 | WARM     | 500.00 | false | false   |            | DEAD, DRY, HOT, SPARSE, WASTELAND, WET                 |                     |
| 318 | aoa3:candyland                                | Candyland                                                  |    0.40 | MEDIUM   | 100.00 | false | false   |            | MAGICAL, PLAINS, WET                                   |                     |
| 319 | aoa3:celeve                                   | Celeve                                                     |    0.50 | MEDIUM   |   0.00 | false | false   |            | DRY, MAGICAL, MOUNTAIN, PLAINS                         | stronghold          |
| 320 | aoa3:creeponia                                | Creeponia                                                  |    0.40 | MEDIUM   | 100.00 | false | false   |            | COLD, FOREST, PLAINS, WET                              |                     |
| 321 | aoa3:crystevia                                | Crystevia                                                  |    0.40 | MEDIUM   | 100.00 | false | false   |            | MAGICAL, PLAINS, WET                                   | stronghold          |
| 322 | aoa3:deeplands                                | Deeplands                                                  |    0.00 | COLD     | 500.00 | false | false   |            | COLD, PLAINS, SPARSE, SPOOKY, WASTELAND, WET           |                     |
| 323 | aoa3:dustopia                                 | Dustopian Forest                                           |    0.25 | MEDIUM   | 500.00 | false | false   |            | FOREST, PLAINS, SPOOKY, WASTELAND, WET                 |                     |
| 324 | aoa3:gardencia                                | Gardencia                                                  |    0.50 | MEDIUM   |   0.70 | false | false   |            | HILLS, MAGICAL, PLAINS, WET                            |                     |
| 325 | aoa3:greckon                                  | Greckon                                                    |    0.50 | MEDIUM   | 500.00 | false | false   |            | MAGICAL, MOUNTAIN, PLAINS, SPOOKY, WET                 |                     |
| 326 | aoa3:haven                                    | Haven                                                      |    0.50 | MEDIUM   |   0.00 | false | false   |            | DRY, MOUNTAIN, PLAINS, VOID                            | stronghold          |
| 327 | aoa3:immortallis                              | Immortallis                                                |    0.00 | COLD     |   0.00 | false | false   |            | COLD, DRY, PLAINS, VOID                                |                     |
| 328 | aoa3:iromine                                  | Iromine                                                    |    0.40 | MEDIUM   | 100.00 | false | false   |            | HILLS, HOT, SPARSE, WET                                |                     |
| 329 | aoa3:lborean                                  | L'Borean Ponds                                             |    0.50 | MEDIUM   | 500.00 | false | false   |            | PLAINS, WASTELAND, WATER, WET                          |                     |
| 330 | aoa3:lelyetia                                 | Lelyetia                                                   |    2.00 | WARM     | 500.00 | false | false   |            | HOT, MAGICAL, PLAINS, VOID, WET                        |                     |
| 331 | aoa3:lunalus                                  | Lunalus                                                    |    0.00 | COLD     |   0.00 | false | false   |            | COLD, DRY, MAGICAL, PLAINS, SPARSE, VOID               | stronghold          |
| 332 | aoa3:mysterium                                | Mysterium                                                  |    0.40 | MEDIUM   | 100.00 | false | false   |            | FOREST, MAGICAL, MUSHROOM, PLAINS, SPOOKY, WET         |                     |
| 333 | aoa3:precasia                                 | Precasian Forest                                           |    2.00 | WARM     | 100.00 | false | false   |            | HILLS, HOT, PLAINS, SPARSE, WET                        |                     |
| 334 | aoa3:runandor                                 | Runandor                                                   |    0.50 | MEDIUM   |   0.00 | false | false   |            | DRY, HILLS, MAGICAL, MOUNTAIN                          |                     |
| 335 | aoa3:shyrelands                               | Shyrelands                                                 |    2.00 | WARM     | 500.00 | false | false   |            | HOT, MAGICAL, PLAINS, WET                              |                     |
