+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
| Name                           | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                               |
| refinedcanolaoil               |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_refined_canola_oil          |
| resin                          |     900 |         300 |      3000 |          0 | COMMON   |     false | -                                                   |
| rocket_fuel                    |     900 |         300 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_rocket_fuel                     |
| rosite                         |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_rosite                            |
| rubber                         |    1200 |         300 |      1500 |          0 | COMMON   |     false | thebetweenlands:rubber                              |
| salt_fluid                     |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:salt                                   |
| sand                           |   50000 |         300 |     10000 |          0 | COMMON   |     false | biomesoplenty:sand                                  |
| sap                            |    1050 |         300 |      1500 |          0 | COMMON   |     false | -                                                   |
| seed.oil                       |     885 |         295 |      5000 |          0 | COMMON   |     false | forestry:fluid.seed.oil                             |
| seed_oil                       |     950 |         300 |      1300 |          0 | COMMON   |     false | -                                                   |
| sewage                         |    3000 |         300 |      6000 |          0 | COMMON   |     false | industrialforegoing:sewage                          |
| shallowbreath                  |       2 |         300 |        10 |          0 | COMMON   |      true | -                                                   |
| short.mead                     |    1000 |         295 |      1200 |          0 | COMMON   |     false | forestry:fluid.short.mead                           |
| shyrestone                     |    2000 |         660 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_shyrestone                        |
| signalum                       |    1000 |        1000 |      1000 |          0 | UNCOMMON |     false | -                                                   |
| silver                         |    2000 |         480 |     10000 |         10 | RARE     |     false | tconstruct:molten_silver                            |
| skeletal                       |    2000 |         660 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_skeletal                          |
| skyfather                      |    2000 |         900 |     10000 |         12 | COMMON   |     false | lightningcraft:molten_skyfather                     |
| sludge                         |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:sludge                          |
| soularium                      |    9000 |         636 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_soularium                       |
| soulium                        |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_soulium                 |
| stagnant_water                 |    1000 |         300 |      1000 |          0 | COMMON   |     false | thebetweenlands:stagnant_water                      |
| steam                          |    1000 |         300 |      1000 |          0 | COMMON   |      true | -                                                   |
| steel                          |    2000 |         681 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_steel                             |
| stellar_alloy                  |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_stellar_alloy                   |
| stone                          |    2000 |         800 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_stone                             |
| sulfuricacid                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| sulphuricacid                  |    6229 |         300 |      1400 |          0 | COMMON   |     false | galacticraftplanets:sulphuric_acid                  |
| superhot_magma                 |    4000 |        1000 |      4000 |         15 | COMMON   |     false | gaiadimension:superhot_magma_block                  |
| superium                       |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_superium                |
| supremium                      |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_supremium               |
| swamp_water                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | thebetweenlands:swamp_water                         |
| sweet_muck                     |    1000 |         300 |       750 |          0 | COMMON   |     false | gaiadimension:sweet_muck_block                      |
| syrup                          |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                                   |
| tamoltenauroriansteel          |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltenauroriansteel                   |
| tamoltencerulean               |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltencerulean                        |
| tamoltenmoonstone              |    2000 |         800 |     10000 |         10 | COMMON   |     false | theaurorian:tamoltenmoonstone                       |
| tamoonwater                    |    1000 |         300 |      1000 |          0 | COMMON   |     false | theaurorian:tamoonwater                             |
| tar                            |    2000 |         330 |      2000 |          0 | COMMON   |     false | thebetweenlands:tar                                 |
| tin                            |    2000 |         350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tin                               |
| tree_oil                       |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                                   |
| uranium                        |    2000 |         600 |     10000 |          0 | COMMON   |     false | immersiveengineering:molten_uranium                 |
| vapor_of_levity                |     -10 |           5 |       100 |          0 | COMMON   |      true | enderio:block_fluid_vapor_of_levity                 |
| varsium                        |    2000 |         750 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_varsium                           |
| vasholine                      |    3000 |         300 |      1500 |          0 | COMMON   |     false | tp:vasholine                                        |
| vibrant_alloy                  |    9000 |         913 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_vibrant_alloy                   |
| vivid_alloy                    |    9000 |         923 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_vivid_alloy                     |
| water                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                                     |
| whitelava                      |    1000 |         300 |      1000 |          0 | COMMON   |     false | zollerngalaxy:fluid_whitelava                       |
| xpjuice                        |     800 |         300 |      1500 |         10 | COMMON   |     false | -                                                   |
| xu_demonic_metal               |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                   |
| xu_enchanted_metal             |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                   |
| xu_evil_metal                  |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                   |
| yellorium                      |     100 |         295 |       100 |         10 | UNCOMMON |     false | bigreactors:yellorium                               |
| zinc                           |    2000 |         375 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_zinc                              |
+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
| Name                           | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                               |
+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
