Mod:Item:MetaData, Localized Name
moreplanets:zyptorium_block, Block of Zyptorium
moreplanets:chalos_dungeon_brick, Chalos Dungeon Brick
moreplanets:cheese_grass_block, Cheese Grass Block
moreplanets:cheese_dirt, Cheese Dirt
moreplanets:cheese_coarse_dirt, Cheese Coarse Dirt
moreplanets:cheese_spore_stem, Cheese Spore Stem
moreplanets:cheese_spore_block, Cheese Spore
moreplanets:cheese_spore_planks, Cheese Spore Planks
moreplanets:cheese_slime_block, Cheese Slime Block
moreplanets:chalos_ancient_chest, Chalos Ancient Chest
moreplanets:chalos_treasure_chest, Chalos Treasure Chest
moreplanets:cheese_milk_cake, Cheese Milk Cake
moreplanets:cheese_spore_flower, Cheese Spore Flower
moreplanets:cheese_grass, Cheese Grass
moreplanets:cheese_farmland, Cheese Farmland
moreplanets:cheese_milk_fluid, Cheese Milk
moreplanets:gaseous_cheese_milk, Gaseous Cheese Milk
moreplanets:cheese_tall_grass, Cheese Tall Grass
moreplanets:cheese_spore_crafting_table, Cheese Spore Crafting Table
moreplanets:cheese_spore_chest, Cheese Spore Chest
moreplanets:chalos_cobblestone_stairs, Chalos Cobblestone Stairs
moreplanets:chalos_dungeon_brick_stairs, Chalos Dungeon Brick Stairs
moreplanets:cheese_spore_stairs, Cheese Spore Stairs
moreplanets:cheese_spore_fence, Cheese Spore Fence
moreplanets:cheese_spore_fence_gate, Cheese Spore Fence Gate
moreplanets:infected_grass_block, Infected Grass Block
moreplanets:infected_dirt, Infected Dirt
moreplanets:infected_coarse_dirt, Infected Coarse Dirt
moreplanets:infected_podzol, Infected Podzol
moreplanets:infected_grass, Infected Grass
moreplanets:infected_fern, Infected Fern
moreplanets:green_vein_grass, Green Vein Grass
moreplanets:infected_orange_rose_bush, Infected Orange Rose Bush
moreplanets:infected_tall_grass, Infected Tall Grass
moreplanets:infected_large_fern, Infected Large Fern
moreplanets:green_vein_tall_grass, Green Vein Tall Grass
moreplanets:nibiru_rock, Nibiru Rock
moreplanets:nibiru_cobblestone, Nibiru Cobblestone
moreplanets:nibiru_vein_cobblestone, Nibiru Vein Cobblestone
moreplanets:infected_stone_bricks, Infected Stone Bricks
moreplanets:infected_vein_stone_bricks, Infected Vein Stone Bricks
moreplanets:infected_cracked_stone_bricks, Cracked Infected Stone Bricks
moreplanets:infected_chiseled_stone_bricks, Chiseled Infected Stone Bricks
moreplanets:inferumite_block, Block of Inferumite
moreplanets:nibiru_dungeon_brick, Nibiru Dungeon Brick
moreplanets:mossy_nibiru_dungeon_brick, Mossy Nibiru Dungeon Brick
moreplanets:infected_sandstone, Infected Sandstone
moreplanets:infected_chiseled_sandstone, Infected Chiseled Sandstone
moreplanets:infected_cut_sandstone, Infected Cut Sandstone
moreplanets:infested_nibiru_rock, Infested Nibiru Rock
moreplanets:infested_nibiru_cobblestone, Infested Nibiru Cobblestone
moreplanets:infested_nibiru_vein_cobblestone, Infested Nibiru Vein Cobblestone
moreplanets:infested_infected_stone_bricks, Infested Infected Stone Bricks
moreplanets:infested_infected_vein_stone_bricks, Infested Infected Vein Stone Bricks
moreplanets:infested_infected_cracked_stone_bricks, Infested Cracked Infected Stone Bricks
moreplanets:infested_infected_chiseled_stone_bricks, Infested Chiseled Infected Stone Bricks
moreplanets:infected_iron_ore, Infected Iron Ore
moreplanets:infected_gold_ore, Infected Gold Ore
moreplanets:infected_tin_ore, Infected Tin Ore
moreplanets:infected_copper_ore, Infected Copper Ore
moreplanets:infected_aluminum_ore, Infected Aluminum Ore
moreplanets:infected_coal_ore, Infected Coal Ore
moreplanets:infected_lapis_ore, Infected Lapis Ore
moreplanets:infected_diamond_ore, Infected Diamond Ore
moreplanets:infected_emerald_ore, Infected Emerald Ore
moreplanets:infected_redstone_ore, Infected Redstone Ore
moreplanets:infected_silicon_ore, Infected Silicon Ore
moreplanets:inferumite_crystal_ore, Inferumite Crystal Ore
moreplanets:infected_oak_log, Infected Oak Log
moreplanets:infected_deadwood_log, Infected Deadwood Log
moreplanets:infected_spruce_log, Infected Spruce Log
moreplanets:infected_jungle_log, Infected Jungle Log
moreplanets:alien_berry_oak_log, Alien Berry Oak Log
moreplanets:oscalea_log, Oscalea Log
moreplanets:frolia_log, Frolia Log
moreplanets:oscalea_planks, Oscalea Planks
moreplanets:frolia_planks, Frolia Planks
moreplanets:infected_oak_planks, Infected Oak Planks
moreplanets:infected_spruce_planks, Infected Spruce Planks
moreplanets:alien_berry_oak_planks, Alien Berry Oak Planks
moreplanets:infected_oak_leaves, Infected Oak Leaves
moreplanets:infected_spruce_leaves, Infected Spruce Leaves
moreplanets:infected_jungle_leaves, Infected Jungle Leaves
moreplanets:alien_berry_oak_leaves, Alien Berry Oak Leaves
moreplanets:oscalea_leaves, Oscalea Leaves
moreplanets:frolia_leaves, Frolia Leaves
moreplanets:flowering_frolia_leaves, Flowering Frolia Leaves
moreplanets:infected_oak_sapling, Infected Oak Sapling
moreplanets:infected_spruce_sapling, Infected Spruce Sapling
moreplanets:infected_jungle_sapling, Infected Jungle Sapling
moreplanets:alien_berry_oak_sapling, Alien Berry Oak Sapling
moreplanets:pure_herb, Pure Herb
moreplanets:terrapuff_herb, Terrapuff Herb
moreplanets:batasia_dandelion, Bastasia Dandelion
moreplanets:pyolonia, Pyolonia
moreplanets:philipy, Philipy
moreplanets:white_tail, White Tail
moreplanets:vealium_vines, Vealium Vines
moreplanets:terrashroom, Terrashroom
moreplanets:nemophila, Nemophila
moreplanets:pink_blechnum, Pink Blechnum
moreplanets:purple_bush, Purple Bush
moreplanets:fronos_fern, Fronos Fern
moreplanets:fronos_lily_pad, Fronos Lily Pad
moreplanets:fronos_mushroom, Fronos Mushroom
moreplanets:oscalea_sapling, Oscalea Sapling
moreplanets:frolia_sapling, Frolia Sapling
moreplanets:infected_crafting_table, Infected Crafting Table
moreplanets:alien_berry_crafting_table, Alien Berry Crafting Table
moreplanets:infected_oak_bookshelf, Infected Oak Bookshelf
moreplanets:alien_berry_oak_bookshelf, Alien Berry Oak Bookshelf
moreplanets:infected_oak_fence, Infected Oak Fence
moreplanets:alien_berry_oak_fence, Alien Berry Oak Fence
moreplanets:infected_grass_path, Infected Grass Path
moreplanets:green_vein_grass_path, Green Vein Grass Path
moreplanets:infected_farmland, Infected Farmland
moreplanets:infected_sand, Infected Sand
moreplanets:infected_cactus, Infected Cactus
moreplanets:infected_water_fluid_mp, Infected Water
moreplanets:infected_vines, Infected Vines
moreplanets:sporelily, Sporelily
moreplanets:infected_oak_fence_gate, Infected Oak Fence Gate
moreplanets:nibiru_ancient_chest, Nibiru Ancient Chest
moreplanets:infected_snow, Infected Snow
moreplanets:purified_snow, Purified Snow
moreplanets:infected_ice, Infected Ice
moreplanets:infected_packed_ice, Infected Packed Ice
moreplanets:infected_snow_layer, tile.infected_snow_layer.name
moreplanets:purified_snow_layer, tile.purified_snow_layer.name
moreplanets:green_vein_grass_block, Green Vein Grass Block
moreplanets:infected_melon, Infected Melon
moreplanets:infected_gravel, Infected Gravel
moreplanets:infected_clay, Infected Clay
moreplanets:nibiru_treasure_chest, Nibiru Treasure Chest
moreplanets:infected_chest, Infected Chest
moreplanets:alien_berry_chest, Alien Berry Chest
moreplanets:multalic_crystal, Multalic Crystal
moreplanets:infected_prismarine, Infected Prismarine
moreplanets:infected_prismarine_bricks, Infected Prismarine Bricks
moreplanets:infected_dark_prismarine, Infected Dark Prismarine
moreplanets:infected_sea_lantern, Infected Sea Lantern
moreplanets:infected_sponge, Infected Sponge
moreplanets:infected_wet_sponge, Infected Wet Sponge
moreplanets:infected_seaweed, Infected Seaweed
moreplanets:oil_ore, Oil Ore
moreplanets:helium_gas, Helium Gas
moreplanets:infected_vines_dirt, Infected Vines Dirt
moreplanets:infected_torch, Infected Torch
moreplanets:infected_furnace, Infected Furnace
moreplanets:terrastone_furnace, Terrastone Furnace
moreplanets:juicer_egg, Juicer Egg
moreplanets:nuclear_waste_tank, Nuclear Waste Tank
moreplanets:nuclear_waste_fluid, Nuclear Waste
moreplanets:vein_frame, Vein Frame
moreplanets:nuclear_waste_generator, Nuclear Waste Generator
moreplanets:alien_berry_oak_fence_gate, Alien Berry Oak Fence Gate
moreplanets:multalic_crystal_block, Block of Multalic Crystal
moreplanets:terrastone, Terrastone
moreplanets:purified_water_fluid, Purified Water
moreplanets:purified_gravel, Purified Gravel
moreplanets:huge_terrashroom_block, Terrashroom Block
moreplanets:sealable_nuclear_waste_rod, Sealable Nuclear Waste Rod
moreplanets:nibiru_dungeon_brick_stairs, Nibiru Dungeon Brick Stairs
moreplanets:infected_oak_stairs, Infected Oak Stairs
moreplanets:alien_berry_oak_stairs, Alien Berry Oak Stairs
moreplanets:infected_prismarine_stairs, Infected Prismarine Stairs
moreplanets:infected_prismarine_brick_stairs, Infected Prismarine Brick Stairs
moreplanets:infected_dark_prismarine_stairs, Infected Dark Prismarine Stairs
moreplanets:infected_vein_stone_bricks_stairs, Infected Vein Stone Bricks Stairs
moreplanets:cracked_infected_stone_bricks_stairs, Cracked Infected Stone Bricks
moreplanets:infected_cut_sandstone_stairs, Infected Cut Sandstone Stairs
moreplanets:nibiru_cobblestone_stairs, Nibiru Cobblestone Stairs
moreplanets:infected_stone_bricks_stairs, Infected Stone Bricks Stairs
moreplanets:infected_sandstone_stairs, Infected Sandstone Stairs
moreplanets:terrastone_stairs, Terrastone Stairs
moreplanets:infected_prismarine_slab, Infected Prismarine Slab
moreplanets:infected_prismarine_brick_slab, Infected Prismarine Brick Slab
moreplanets:infected_dark_prismarine_slab, Infected Dark Prismarine Slab
moreplanets:infected_stone_bricks_slab, Infected Stone Bricks Slab
moreplanets:infected_vein_stone_bricks_slab, Infected Vein Stone Bricks Slab
moreplanets:infected_cracked_stone_bricks_slab, Cracked Infected Stone Bricks Slab
moreplanets:terrastone_slab, Terrastone Slab
moreplanets:infected_sandstone_slab, Infected Sandstone Slab
moreplanets:infected_cut_sandstone_slab, Infected Cut Sandstone Slab
moreplanets:empty_capsule, Empty Capsule
moreplanets:infected_spore_protection_capsule, Infected Spore Protection Capsule
moreplanets:dark_energy_protection_capsule, Dark Energy Protection Capsule
moreplanets:laser_bullet, Laser Bullet
moreplanets:infected_purlonite_laser_bullet, Infected Purlonite Laser Bullet
moreplanets:ion_cannon_schematic, item.ion_cannon_schematic.name
moreplanets:black_hole_storage_schematic, item.black_hole_storage_schematic.name
moreplanets:zelius_fish, Zelius Fish
moreplanets:glowing_alien_fish, Glowing Alien Fish
moreplanets:cheese_fish, Cheese Fish
moreplanets:space_warper_core, Space Warper Core
moreplanets:space_bow, Space Bow
moreplanets:space_fishing_rod, Space Fishing Rod
moreplanets:blue_dye, Blue Dye
moreplanets:laser_gun, Laser Gun
moreplanets:alien_defender_reinforcement, Alien Defender Reinforcement
moreplanets:creative_space_kit, Creative Space Kit
moreplanets:vein_floater_disc, item.vein_floater_disc.name
moreplanets:upgrade_template, Upgrade Template
moreplanets:shield_damage_upgrade, Shield Damage Upgrade
moreplanets:shield_size_upgrade, Shield Size Upgrade
moreplanets:shield_capacity_upgrade, Shield Capacity Upgrade
moreplanets:machine_speed_upgrade, Machine Speed Upgrade
moreplanets:gravity_amulet, Gravity Amulet (WIP)
moreplanets:illenium_ingot, Illenium Ingot
moreplanets:setrorium_shard, Setrorium Shard
moreplanets:compressed_illenium, Compressed Illenium
moreplanets:compressed_setrorium, Compressed Setrorium
moreplanets:infected_purlonite_shard, Infected Purlonite Shard
moreplanets:alien_miner_part, Alien Miner Part
moreplanets:glowing_iron_ingot, Glowing Iron Ingot
moreplanets:black_hole_fragments, Black Hole Fragments
moreplanets:anti_gravity_fragments, Anti Gravity Fragments
moreplanets:infected_purlonite_bomb, Infected Purlonite Bomb
moreplanets:diona_dungeon_key, Diona Dungeon Key
moreplanets:infected_purlonite_slimeball, Infected Purlonite Slimeball
moreplanets:infected_purlonite_arrow, Infected Purlonite Arrow
moreplanets:dark_energy_pearl, Dark Energy Pearl
moreplanets:anti_gravity_arrow, Anti Gravity Arrow
moreplanets:illenium_sword, Illenium Sword
moreplanets:illenium_shovel, Illenium Shovel
moreplanets:illenium_pickaxe, Illenium Pickaxe
moreplanets:illenium_axe, Illenium Axe
moreplanets:illenium_hoe, Illenium Hoe
moreplanets:illenium_helmet, Illenium Helmet
moreplanets:illenium_chestplate, Illenium Chestplate
moreplanets:illenium_leggings, Illenium Leggings
moreplanets:illenium_boots, Illenium Boots
moreplanets:breathable_illenium_helmet, Breathable Illenium Helmet
moreplanets:diremsium_ingot, Diremsium Ingot
moreplanets:zyptorium_ingot, Zyptorium Ingot
moreplanets:compressed_diremsium, Compressed Diremsium
moreplanets:compressed_zyptorium, Compressed Zyptorium
moreplanets:cheese_milk_curd, Cheese Milk Curd
moreplanets:raw_cheese_beef, Raw Cheese Beef
moreplanets:cooked_cheese_beef, Cooked Cheese Steak
moreplanets:cheese_spore_berry, Cheese Spore Berry
moreplanets:cheese_slimeball, Cheese Slimeball
moreplanets:cheese_spore_item, Cheese Spore
moreplanets:cheese_spore_seed, Cheese Spore Seed
moreplanets:chalos_dungeon_key, Chalos Dungeon Key
moreplanets:cheese_spore_door, Cheese Spore Door
moreplanets:inferumite_crystal, Inferumite Crystal
moreplanets:multalic_crystal_pieces, Multalic Crystal Pieces
moreplanets:infected_coal, Infected Coal
moreplanets:infected_charcoal, Infected Charcoal
moreplanets:shlime_tail, Shlime Tail
moreplanets:infected_prismarine_shard, Infected Prismarine Shard
moreplanets:infected_prismarine_crystals, Infected Prismarine Crystals
moreplanets:infected_apple, Infected Apple
moreplanets:infected_golden_apple, Infected Golden Apple
moreplanets:enchanted_infected_golden_apple, item.enchanted_infected_golden_apple.name
moreplanets:infected_melon_slice, Infected Melon Slice
moreplanets:alien_berry, Alien Berry
moreplanets:golden_alien_berry, Golden Alien Berry
moreplanets:terraberry, Terraberry
moreplanets:raw_shlime_meat, Raw Shlime Meat
moreplanets:cooked_shlime_meat, Cooked Shlime Meat
moreplanets:infected_wheat_seeds, Infected Wheat Seeds
moreplanets:infected_oak_door, Infected Oak Door
moreplanets:alien_berry_oak_door, Alien Berry Oak Door
moreplanets:infected_wheat, Infected Wheat
moreplanets:infected_clay_ball, Infected Clay Ball
moreplanets:infected_snowball, Infected Snowball
moreplanets:purified_snowball, Purified Snowball
moreplanets:nibiru_dungeon_key, Nibiru Dungeon Key
moreplanets:nibiru_dungeon_key_bow, Nibiru Dungeon Key Bow
moreplanets:nibiru_dungeon_key_blade, Nibiru Dungeon Key Blade
moreplanets:infected_sugar_cane, Infected Sugar Cane
moreplanets:infected_egg, Infected Egg
moreplanets:infected_arrow, Infected Arrow
moreplanets:infected_melon_seeds, Infected Melon Seeds
moreplanets:vein_eye, Vein Eye
moreplanets:waste_rod_picker, Waste Rod Picker
moreplanets:nuclear_waste_rod, Nuclear Waste Rod
moreplanets:gravity_boots, Gravity Boots
moreplanets:extrailonite_ingot, Extrailonite Ingot
moreplanets:compressed_extrailonite, Compressed Extrailonite
moreplanets:oscalea_door, Oscalea Door
moreplanets:frolia_door, Frolia Door
moreplanets:strawberry, Strawberry
moreplanets:giant_blueberry, Giant Blueberry
moreplanets:chocolate_bar, Chocolate Bar
moreplanets:jelly_beans, Jelly Beans
moreplanets:marshmallow, Marshmallow
moreplanets:cooked_marshmallow, Cooked Marshmallow
moreplanets:blue_pear, Blue Pear
moreplanets:red_candy_cane_stick, Red Candy Cane Stick
moreplanets:green_candy_cane_stick, Green Candy Cane Stick
moreplanets:blue_candy_cane_stick, Blue Candy Cane Stick
moreplanets:orange_candy_cane_stick, Orange Candy Cane Stick
moreplanets:pink_candy_cane_stick, Pink Candy Cane Stick
moreplanets:yellow_candy_cane_stick, Yellow Candy Cane Stick
moreplanets:purple_candy_cane_stick, Purple Candy Cane Stick
moreplanets:rainbow_candy_cane_stick, Rainbow Candy Cane Stick
moreplanets:grape_jelly, Grape Jelly
moreplanets:raspberry_jelly, Raspberry Jelly
moreplanets:strawberry_jelly, Strawberry Jelly
moreplanets:berry_jelly, Berry Jelly
moreplanets:lime_jelly, Lime Jelly
moreplanets:orange_jelly, Orange Jelly
moreplanets:green_jelly, Green Jelly
moreplanets:lemon_jelly, Lemon Jelly
moreplanets:diremsium_sword, Diremsium Sword
moreplanets:diremsium_shovel, Diremsium Shovel
moreplanets:diremsium_pickaxe, Diremsium Pickaxe
moreplanets:diremsium_axe, Diremsium Axe
moreplanets:diremsium_hoe, Diremsium Hoe
moreplanets:cheese_spore_wood_sword, Cheese Spore Wooden Sword
moreplanets:cheese_spore_wood_shovel, Cheese Spore Wooden Shovel
moreplanets:cheese_spore_wood_pickaxe, Cheese Spore Wooden Pickaxe
moreplanets:cheese_spore_wood_axe, Cheese Spore Wooden Axe
moreplanets:cheese_spore_wood_hoe, Cheese Spore Wooden Hoe
moreplanets:infected_wood_sword, Infected Wooden Sword
moreplanets:infected_wood_shovel, Infected Wooden Shovel
moreplanets:infected_wood_pickaxe, Infected Wooden Pickaxe
moreplanets:infected_wood_axe, Infected Wooden Axe
moreplanets:infected_wood_hoe, Infected Wooden Hoe
moreplanets:alien_berry_wood_sword, Alien Berry Wooden Sword
moreplanets:alien_berry_wood_shovel, Alien Berry Wooden Shovel
moreplanets:alien_berry_wood_pickaxe, Alien Berry Wooden Pickaxe
moreplanets:alien_berry_wood_axe, Alien Berry Wooden Axe
moreplanets:alien_berry_wood_hoe, Alien Berry Wooden Hoe
moreplanets:nibiru_stone_sword, Nibiru Stone Sword
moreplanets:nibiru_stone_shovel, Nibiru Stone Shovel
moreplanets:nibiru_stone_pickaxe, Nibiru Stone Pickaxe
moreplanets:nibiru_stone_axe, Nibiru Stone Axe
moreplanets:nibiru_stone_hoe, Nibiru Stone Hoe
moreplanets:multalic_crystal_sword, Multalic Crystal Sword
moreplanets:multalic_crystal_shovel, Multalic Crystal Shovel
moreplanets:multalic_crystal_pickaxe, Multalic Crystal Pickaxe
moreplanets:multalic_crystal_axe, Multalic Crystal Axe
moreplanets:multalic_crystal_hoe, Multalic Crystal Hoe
moreplanets:diremsium_helmet, Diremsium Helmet
moreplanets:diremsium_chestplate, Diremsium Chestplate
moreplanets:diremsium_leggings, Diremsium Leggings
moreplanets:diremsium_boots, Diremsium Boots
moreplanets:breathable_diremsium_helmet, Breathable Diremsium Helmet
moreplanets:multalic_crystal_helmet, Multalic Crystal Helmet
moreplanets:multalic_crystal_chestplate, Multalic Crystal Chestplate
moreplanets:multalic_crystal_leggings, Multalic Crystal Leggings
moreplanets:multalic_crystal_boots, Multalic Crystal Boots
moreplanets:breathable_multalic_crystal_helmet, Breathable Multalic Crystal Helmet
plustic:alumitenugget, Alumite Nugget
plustic:alumiteingot, Alumite Ingot
plustic:alumiteblock, Alumite Block
plustic:plustic.molten_alumite, Molten Alumite
plustic:invarnugget, Invar Nugget
plustic:invaringot, Invar Ingot
plustic:invarblock, Invar Block
plustic:plustic.molten_osmium, Molten Osmium
plustic:plustic.molten_refinedobsidian, Molten Refined Obsidian
plustic:plustic.molten_refinedglowstone, Refined Glowstone
plustic:osgloglasnugget, Osgloglas Nugget
plustic:osgloglasingot, Osgloglas Ingot
plustic:osgloglasblock, Osgloglas Block
plustic:plustic.molten_osgloglas, Molten Osgloglas
plustic:osmiridiumnugget, Osmiridium Nugget
plustic:osmiridiumingot, Osmiridium Ingot
plustic:osmiridiumblock, Osmiridium Block
plustic:plustic.molten_osmiridium, Molten Osmiridium
plustic:plustic.molten_terrasteel, Molten Terrasteel
plustic:plustic.molten_elementium, Molten Elementium
plustic:plustic.molten_manasteel, Molten Manasteel
plustic:plustic.molten_mirion, Molten Mirion
plustic:plustic.molten_psimetal, Molten Psimetal
plustic:plustic.molten_infinity, Molten Infinity
plustic:plustic.molten_desh, Molten Desh
plustic:plustic.molten_titanium, Molten Titanium
moreplates:black_quartz_gear, Black Quartz Gear
moreplates:black_quartz_plate, Black Quartz Plate
moreplates:diamatine_gear, Diamatine Gear
moreplates:diamatine_plate, Diamatine Plate
moreplates:emeradic_gear, Emeradic Gear
moreplates:emeradic_plate, Emeradic Plate
moreplates:enori_gear, Enori Gear
moreplates:enori_plate, Enori Plate
moreplates:palis_gear, Palis Gear
moreplates:palis_plate, Palis Plate
moreplates:restonia_gear, Restonia Gear
moreplates:restonia_plate, Restonia Plate
moreplates:void_gear, Void Gear
moreplates:void_plate, Void Plate
moreplates:empowered_diamatine_gear, Empowered Diamatine Gear
moreplates:empowered_diamatine_plate, Empowered Diamatine Plate
moreplates:empowered_emeradic_gear, Empowered Emeradic Gear
moreplates:empowered_emeradic_plate, Empowered Emeradic Plate
moreplates:empowered_enori_gear, Empowered Enori Gear
moreplates:empowered_enori_plate, Empowered Enori Plate
moreplates:empowered_palis_gear, Empowered Palis Gear
moreplates:empowered_palis_plate, Empowered Palis Plate
moreplates:empowered_restonia_gear, Empowered Restonia Gear
moreplates:empowered_restonia_plate, Empowered Restonia Plate
moreplates:empowered_void_gear, Empowered Void Gear
moreplates:empowered_void_plate, Empowered Void Plate
moreplates:certus_quartz_gear, Certus Quartz Gear
moreplates:certus_quartz_plate, Certus Quartz Plate
moreplates:fluix_gear, Fluix Gear
moreplates:fluix_plate, Fluix Plate
moreplates:crystal_matrix_gear, Crystal Matrix Gear
moreplates:crystal_matrix_plate, Crystal Matrix Plate
moreplates:infinity_gear, Infinity Gear
moreplates:infinity_plate, Infinity Plate
moreplates:neutronium_gear, Neutronium Gear
moreplates:neutronium_plate, Neutronium Plate
moreplates:elementium_gear, Elementium Gear
moreplates:elementium_plate, Elementium Plate
moreplates:gaia_spirit_gear, Gaia Spirit Gear
moreplates:gaia_spirit_plate, Gaia Spirit Plate
moreplates:manasteel_gear, Manasteel Gear
moreplates:manasteel_plate, Manasteel Plate
moreplates:terrasteel_gear, Terrasteel Gear
moreplates:terrasteel_plate, Terrasteel Plate
moreplates:amethyst_gear, Amethyst Gear
moreplates:amethyst_plate, Amethyst Plate
moreplates:enriched_gold_gear, Enriched Gold Gear
moreplates:enriched_gold_plate, Enriched Gold Plate
moreplates:reinforced_iron_gear, Reinforced Iron Gear
moreplates:reinforced_iron_plate, Reinforced Iron Plate
moreplates:tanzanite_gear, Tanzanite Gear
moreplates:tanzanite_plate, Tanzanite Plate
moreplates:awakened_draconium_gear, Awakened Draconium Gear
moreplates:awakened_draconium_plate, Awakened Draconium Plate
moreplates:draconium_gear, Draconium Gear
moreplates:draconium_plate, Draconium Plate
moreplates:conductive_iron_gear, Conductive Iron Gear
moreplates:conductive_iron_plate, Conductive Iron Plate
moreplates:dark_steel_gear, Dark Steel Gear
moreplates:dark_steel_plate, Dark Steel Plate
moreplates:electrical_steel_gear, Electrical Steel Gear
moreplates:electrical_steel_plate, Electrical Steel Plate
moreplates:end_steel_gear, End Steel Gear
moreplates:end_steel_plate, End Steel Plate
moreplates:energetic_alloy_gear, Energetic Alloy Gear
moreplates:energetic_alloy_plate, Energetic Alloy Plate
moreplates:iron_alloy_gear, Iron Alloy Gear
moreplates:iron_alloy_plate, Iron Alloy Plate
moreplates:pulsating_iron_gear, Pulsating Iron Gear
moreplates:pulsating_iron_plate, Pulsating Iron Plate
moreplates:redstone_alloy_gear, Redstone Alloy Gear
moreplates:redstone_alloy_plate, Redstone Alloy Plate
moreplates:soularium_gear, Soularium Gear
moreplates:soularium_plate, Soularium Plate
moreplates:vibrant_alloy_gear, Vibrant Alloy Gear
moreplates:vibrant_alloy_plate, Vibrant Alloy Plate
moreplates:crude_steel_gear, Crude Steel Gear
moreplates:crude_steel_plate, Crude Steel Plate
moreplates:crystalline_alloy_gear, Crystalline Alloy Gear
moreplates:crystalline_alloy_plate, Crystalline Alloy Plate
moreplates:crystalline_pink_slime_gear, Crystalline Pink Slime Gear
moreplates:crystalline_pink_slime_plate, Crystalline Pink Slime Plate
moreplates:energetic_silver_gear, Energetic Silver Gear
moreplates:energetic_silver_plate, Energetic Silver Plate
moreplates:melodic_alloy_gear, Melodic Alloy Gear
moreplates:melodic_alloy_plate,  Melodic Alloy Plate
moreplates:stellar_alloy_gear, Stellar Alloy Gear
moreplates:stellar_alloy_plate, Stellar Alloy Plate
moreplates:vivid_alloy_gear, Vivid Alloy Gear
moreplates:vivid_alloy_plate, Vivid Alloy Plate
moreplates:demon_gear, Demon Gear
moreplates:demon_plate, Demon Plate
moreplates:enchanted_gear, Enchanted Gear
moreplates:enchanted_plate, Enchanted Plate
moreplates:evil_infused_iron_gear, Evil Infused Iron Gear
moreplates:evil_infused_iron_plate, Evil Infused Iron Plate
moreplates:osmium_gear, Osmium Gear
moreplates:osmium_plate, Osmium Plate
moreplates:refined_glowstone_gear, Refined Glowstone Gear
moreplates:refined_glowstone_plate, Refined Glowstone Plate
moreplates:refined_obsidian_gear, Refined Obsidian Gear
moreplates:refined_obsidian_plate, Refined Obsidian Plate
moreplates:bronze_stick, Bronze Rod
moreplates:constantan_stick, Constantan Rod
moreplates:copper_stick, Copper Rod
moreplates:electrum_stick, Electrum Rod
moreplates:enderium_stick, Enderium Rod
moreplates:invar_stick, Invar Rod
moreplates:iridium_stick, Iridium Rod
moreplates:lead_stick, Lead Rod
moreplates:lumium_stick, Lumium Rod
moreplates:mana_infused_stick, Mana Infused Rod
moreplates:nickel_stick, Nickel Rod
moreplates:platinum_stick, Platinum Rod
moreplates:signalum_stick, Signalum Rod
moreplates:silicon_gear, Silicon Gear
moreplates:silicon_plate, Silicon Plate
moreplates:silver_stick, Silver Rod
moreplates:tin_stick, Tin Rod
moreplates:coal_gear, Coal Gear
moreplates:coal_plate, Coal Plate
moreplates:diamond_plate, Diamond Plate
moreplates:emerald_plate, Emerald Plate
moreplates:glowstone_gear, Glowstone Gear
moreplates:glowstone_plate, Glowstone Plate
moreplates:gold_stick, Gold Rod
moreplates:lapis_lazuli_gear, Lapis Lazuli Gear
moreplates:lapis_lazuli_plate, Lapis Lazuli Plate
moreplates:nether_quartz_gear, Nether Quartz Gear
moreplates:nether_quartz_plate, Nether Quartz Plate
moreplates:redstone_plate, Redstone Plate
moreplates:insanium_gear, Insanium Gear
moreplates:insanium_plate, Insanium Plate
moreplates:inferium_gear, Inferium Gear
moreplates:inferium_plate, Inferium Plate
moreplates:intermedium_gear, Intermedium Gear
moreplates:intermedium_plate, Intermedium Plate
moreplates:prudentium_gear, Prudentium Gear
moreplates:prudentium_plate, Prudentium Plate
moreplates:soulium_gear, Soulium Gear
moreplates:soulium_plate, Soulium Plate
moreplates:superium_gear, Superium Gear
moreplates:superium_plate, Superium Plate
moreplates:supremium_gear, Supremium Gear
moreplates:supremium_plate, Supremium Plate
moreplates:alumite_gear, Alumite Gear
moreplates:alumite_plate, Alumite Plate
moreplates:mirion_gear, Mirion Gear
moreplates:mirion_plate, Mirion Plate
moreplates:osgloglas_gear, Osgloglas Gear
moreplates:osgloglas_plate, Osgloglas Plate
moreplates:osmiridium_gear, Osmiridium Gear
moreplates:osmiridium_plate, Osmiridium Plate
moreplates:dark_matter_gear, Dark Matter Gear
moreplates:dark_matter_plate, Dark Matter Plate
moreplates:red_matter_gear, Red Matter Gear
moreplates:red_matter_plate, Red Matter Plate
moreplates:ardite_gear, Ardite Gear
moreplates:ardite_plate, Ardite Plate
moreplates:cobalt_gear, Cobalt Gear
moreplates:cobalt_plate, Cobalt Plate
moreplates:knightslime_gear, Knightslime Gear
moreplates:knightslime_plate, Knightslime Plate
moreplates:manyullyn_gear, Manyullyn Gear
moreplates:manyullyn_plate, Manyullyn Plate
moreplates:pig_iron_gear, Pig Iron Gear
moreplates:pig_iron_plate, Pig Iron Plate
moreplates:fiery_gear, Fiery Gear
moreplates:fiery_plate, Fiery Plate
moreplates:ironwood_gear, Ironwood Gear
moreplates:ironwood_plate, Ironwood Plate
